time[ms],[Ca2+]_i[mM]
5.930298135240069257e+01,5.847544670104980469e-01
5.935276315171709882e+01,5.869629979133605957e-01
5.940254495103350507e+01,5.891715884208679199e-01
5.945232675034991132e+01,5.913801193237304688e-01
5.950210854966631757e+01,5.935887098312377930e-01
5.955189034898272382e+01,5.957972407341003418e-01
5.960167214829913007e+01,5.980058312416076660e-01
5.965145394761553632e+01,6.002143621444702148e-01
5.970123574693194257e+01,6.024229526519775391e-01
5.975101754624834882e+01,6.046314835548400879e-01
5.980079934556475507e+01,6.068400740623474121e-01
5.985058114488116132e+01,6.090486049652099609e-01
5.990036294419756757e+01,6.112571954727172852e-01
5.995014474351397382e+01,6.134657859802246094e-01
5.999992654283038007e+01,6.156743168830871582e-01
6.004970834214678632e+01,6.178829073905944824e-01
6.010224816758623945e+01,6.200885176658630371e-01
6.015660378892413007e+01,6.222922801971435547e-01
6.021096322495928632e+01,6.244960427284240723e-01
6.026531884629717695e+01,6.266998052597045898e-01
6.031967446763506757e+01,6.289035677909851074e-01
6.037403008897295820e+01,6.311072707176208496e-01
6.042838571031084882e+01,6.333110332489013672e-01
6.048274133164873945e+01,6.355147957801818848e-01
6.053709695298663007e+01,6.377185583114624023e-01
6.059145257432452070e+01,6.399222612380981445e-01
6.064580819566241132e+01,6.421260237693786621e-01
6.070016381700030195e+01,6.443297863006591797e-01
6.075451943833819257e+01,6.465335488319396973e-01
6.080887505967608320e+01,6.487373113632202148e-01
6.086323068101397382e+01,6.509410142898559570e-01
6.091758630235186445e+01,6.531447768211364746e-01
6.097194573838702070e+01,6.553485393524169922e-01
6.102630135972491132e+01,6.575523018836975098e-01
6.108427331407061445e+01,6.597518920898437500e-01
6.114314935166827070e+01,6.619504690170288086e-01
6.120202538926592695e+01,6.641490459442138672e-01
6.126089761216631757e+01,6.663475632667541504e-01
6.131977364976397382e+01,6.685461401939392090e-01
6.137864968736163007e+01,6.707447171211242676e-01
6.143752191026202070e+01,6.729432940483093262e-01
6.149639794785967695e+01,6.751418709754943848e-01
6.155527398545733320e+01,6.773404479026794434e-01
6.161414620835772382e+01,6.795389652252197266e-01
6.167302224595538007e+01,6.817375421524047852e-01
6.173189828355303632e+01,6.839361190795898438e-01
6.179077050645342695e+01,6.861346960067749023e-01
6.184964654405108320e+01,6.883332729339599609e-01
6.190852258164873945e+01,6.905318498611450195e-01
6.196739480454913007e+01,6.927303671836853027e-01
6.202871987779131757e+01,6.949259042739868164e-01
6.209221551377764570e+01,6.971187591552734375e-01
6.215570733506670820e+01,6.993115544319152832e-01
6.221919915635577070e+01,7.015044093132019043e-01
6.228269097764483320e+01,7.036972641944885254e-01
6.234618279893389570e+01,7.058900594711303711e-01
6.240967462022295820e+01,7.080829143524169922e-01
6.247316644151202070e+01,7.102757096290588379e-01
6.253665826280108320e+01,7.124685645103454590e-01
