time[ms],voltage[mV]
5.582206724715133106e+01,-9.266295433044433594e+00
5.584803007674117481e+01,-8.978367805480957031e+00
5.587399672102828418e+01,-8.690440177917480469e+00
5.589995955061812793e+01,-8.402512550354003906e+00
5.592592238020797168e+01,-8.114585876464843750e+00
5.595141981673140918e+01,-7.826621532440185547e+00
5.597657393050094043e+01,-7.538631439208984375e+00
5.600172804427047168e+01,-7.250641345977783203e+00
5.602688215804000293e+01,-6.962651252746582031e+00
5.605204008650679981e+01,-6.674661159515380859e+00
5.607719420027633106e+01,-6.386671066284179688e+00
5.610234831404586231e+01,-6.098680973052978516e+00
5.612750242781539356e+01,-5.810690879821777344e+00
5.615265654158492481e+01,-5.522700786590576172e+00
5.617781447005172168e+01,-5.234710693359375000e+00
5.620296858382125293e+01,-4.946720600128173828e+00
5.622872923445601856e+01,-4.658777713775634766e+00
5.625505827498336231e+01,-4.370879173278808594e+00
5.628138731551070606e+01,-4.082980632781982422e+00
5.630771635603804981e+01,-3.795082330703735352e+00
5.633404539656539356e+01,-3.507183790206909180e+00
5.636037825179000293e+01,-3.219285249710083008e+00
5.638670729231734668e+01,-2.931386709213256836e+00
5.641303633284469043e+01,-2.643488168716430664e+00
5.643936537337203418e+01,-2.355589866638183594e+00
5.646569441389937793e+01,-2.067691326141357422e+00
5.649202345442672168e+01,-1.779792785644531250e+00
5.651835249495406543e+01,-1.491894245147705078e+00
5.654654310774703418e+01,-1.204149961471557617e+00
5.657490538191695606e+01,-9.164200425148010254e-01
5.660327147078414356e+01,-6.286901831626892090e-01
5.663163374495406543e+01,-3.409603238105773926e-01
5.665999983382125293e+01,-5.323047190904617310e-02
5.668836592268844043e+01,2.344993948936462402e-01
5.671672819685836231e+01,5.222292542457580566e-01
5.674509428572554981e+01,8.099591135978698730e-01
5.677345655989547168e+01,1.097688913345336914e+00
5.680182264876265918e+01,1.385418772697448730e+00
5.683018492293258106e+01,1.673148632049560547e+00
5.685855101179976856e+01,1.960878491401672363e+00
5.688691328596969043e+01,2.248608350753784180e+00
5.691527937483687793e+01,2.536338329315185547e+00
5.694364164900679981e+01,2.824068069458007812e+00
5.697200773787398731e+01,3.111798048019409180e+00
5.700037001204390918e+01,3.399527788162231445e+00
5.702873610091109668e+01,3.687257766723632812e+00
5.705709837508101856e+01,3.974987506866455078e+00
5.708546446394820606e+01,4.262717247009277344e+00
5.711382673811812793e+01,4.550447463989257812e+00
5.714219282698531543e+01,4.838177204132080078e+00
5.717055510115523731e+01,5.125906944274902344e+00
5.719892119002242481e+01,5.413636684417724609e+00
5.722728346419234668e+01,5.701366901397705078e+00
5.725781248640914356e+01,5.988900184631347656e+00
5.728935240340133106e+01,6.276341438293457031e+00
5.732089613509078418e+01,6.563782691955566406e+00
5.735243605208297168e+01,6.851223945617675781e+00
5.738397596907515918e+01,7.138664722442626953e+00
5.741551970076461231e+01,7.426105976104736328e+00
5.744705961775679981e+01,7.713547229766845703e+00
5.747860334944625293e+01,8.000988960266113281e+00
5.751014326643844043e+01,8.288429260253906250e+00
5.754168699812789356e+01,8.575870513916015625e+00
5.757322691512008106e+01,8.863311767578125000e+00
5.760477064680953418e+01,9.150753021240234375e+00
5.763631056380172168e+01,9.438194274902343750e+00
5.766785429549117481e+01,9.725635528564453125e+00
5.769939421248336231e+01,1.001307678222656250e+01
5.773093794417281543e+01,1.030051803588867188e+01
5.776247786116500293e+01,1.058795928955078125e+01
5.779402159285445606e+01,1.087540054321289062e+01
5.782556150984664356e+01,1.116284179687500000e+01
5.785710524153609668e+01,1.145028305053710938e+01
5.788864515852828418e+01,1.173772430419921875e+01
5.792018889021773731e+01,1.202516460418701172e+01
5.795431517195601856e+01,1.231233501434326172e+01
5.799188612532515918e+01,1.259914302825927734e+01
5.802945707869429981e+01,1.288595104217529297e+01
5.806702803206344043e+01,1.317275905609130859e+01
5.810459898543258106e+01,1.345956707000732422e+01
5.814217375349898731e+01,1.374637603759765625e+01
5.817974470686812793e+01,1.403318405151367188e+01
5.821731566023726856e+01,1.431999206542968750e+01
5.825488661360640918e+01,1.460680007934570312e+01
5.829245756697554981e+01,1.489360809326171875e+01
5.833002852034469043e+01,1.518041610717773438e+01
5.836759947371383106e+01,1.546722507476806641e+01
5.840517042708297168e+01,1.575403308868408203e+01
5.844274138045211231e+01,1.604084014892578125e+01
5.848031233382125293e+01,1.632765007019042969e+01
5.851788328719039356e+01,1.661445808410644531e+01
5.855545424055953418e+01,1.690126609802246094e+01
5.859302519392867481e+01,1.718807411193847656e+01
5.863059996199508106e+01,1.747488212585449219e+01
5.866935347151656543e+01,1.776153564453125000e+01
5.871725081038375293e+01,1.804699897766113281e+01
5.876515196394820606e+01,1.833246040344238281e+01
5.881305311751265918e+01,1.861792373657226562e+01
5.886095427107711231e+01,1.890338706970214844e+01
5.890885160994429981e+01,1.918884849548339844e+01
5.895675276350875293e+01,1.947431182861328125e+01
5.900465391707320606e+01,1.975977325439453125e+01
5.905255125594039356e+01,2.004523658752441406e+01
