time[ms],[Ca2+]_i[mM]
9.591724688917713593e+01,7.365319677049190217e-01
9.618058397389226855e+01,7.352807022030792838e-01
9.644392105860735853e+01,7.340294367012401011e-01
9.670725814332246273e+01,7.327781711994008074e-01
9.697059522803756693e+01,7.315269056975615136e-01
9.723393231275265691e+01,7.302756401957222199e-01
9.749726939746778953e+01,7.290243746938830371e-01
9.775796977308948499e+01,7.277502825172573742e-01
9.801712691130187238e+01,7.264628301339448591e-01
9.827628404951424557e+01,7.251753777506326770e-01
9.853544118772664717e+01,7.238879253673201619e-01
9.879459832593904878e+01,7.226004729840075358e-01
9.905375546415143617e+01,7.213130206006953538e-01
9.931291260236382357e+01,7.200255682173828387e-01
9.957192992599911463e+01,7.187369575158870649e-01
9.982683895005095565e+01,7.174143108918925593e-01
1.000817479741028251e+02,7.160916642678974986e-01
1.003366569981546519e+02,7.147690176439029930e-01
1.005915660222064929e+02,7.134463710199079323e-01
1.008464750462583339e+02,7.121237243959133156e-01
1.011013840703102034e+02,7.108010777719183659e-01
1.013553965044242915e+02,7.094713281363052015e-01
1.016056459643939434e+02,7.081117672704497767e-01
1.018558954243635952e+02,7.067522064045946850e-01
1.021061448843332471e+02,7.053926455387391492e-01
1.023563943443029416e+02,7.040330846728837244e-01
1.026066438042725935e+02,7.026735238070282996e-01
1.028553055517567998e+02,7.013020032752613764e-01
1.030997763622707026e+02,6.998989139257897341e-01
1.033442471727845771e+02,6.984958245763180917e-01
1.035887179832984941e+02,6.970927352268463384e-01
1.038331887938123685e+02,6.956896458773746961e-01
1.040737504232775024e+02,6.942590260183251205e-01
1.043094456038305964e+02,6.927941340657826075e-01
1.045451407843836620e+02,6.913292421132402055e-01
1.047808359649367560e+02,6.898643501606976924e-01
1.050007006060056796e+02,6.883003158947087474e-01
1.052181852432358085e+02,6.867213763194701670e-01
1.054356698804659231e+02,6.851424367442319197e-01
1.056531545176960378e+02,6.835634971689932282e-01
1.058706391549261951e+02,6.819845575937546478e-01
1.060881237921562956e+02,6.804056180185162894e-01
1.063056084293864245e+02,6.788266784432780421e-01
1.065230930666165392e+02,6.772477388680394617e-01
1.067405777038466539e+02,6.756687992928012143e-01
1.069580623410767828e+02,6.740898597175625229e-01
1.071755469783069117e+02,6.725109201423242755e-01
1.073930316155370264e+02,6.709319805670856951e-01
1.076105162527671411e+02,6.693530409918474477e-01
1.078280008899972557e+02,6.677741014166087563e-01
1.080454855272273988e+02,6.661951618413705090e-01
1.082629701644575135e+02,6.646162222661318175e-01
1.084635769024182679e+02,6.629464676159387837e-01
1.086626849797716261e+02,6.612686491081996021e-01
1.088617930571249985e+02,6.595908306004603094e-01
1.090609011344783852e+02,6.579130120927207948e-01
1.092600092118317718e+02,6.562351935849811690e-01
1.094591172891851443e+02,6.545573750772419874e-01
1.096582253665385167e+02,6.528795565695028058e-01
1.098573334438918891e+02,6.512017380617631801e-01
1.100564415212452900e+02,6.495239195540235544e-01
1.102555495985986624e+02,6.478461010462843728e-01
1.104546576759520349e+02,6.461682825385448581e-01
1.106537657533053931e+02,6.444904640308055654e-01
1.108528738306587655e+02,6.428126455230663838e-01
1.110519819080121806e+02,6.411348270153268691e-01
1.112510899853655388e+02,6.394570085075872434e-01
1.114501980627189113e+02,6.377791899998480618e-01
1.116409501384037384e+02,6.360615647638467873e-01
1.118282462478097727e+02,6.343274758271431057e-01
1.120155423572158355e+02,6.325933868904389801e-01
1.122028384666218699e+02,6.308592979537352985e-01
1.123901345760279042e+02,6.291252090170312838e-01
1.125774306854339386e+02,6.273911200803274912e-01
1.127647267948399730e+02,6.256570311436238097e-01
1.129520229042460215e+02,6.239229422069196840e-01
1.131393190136520559e+02,6.221888532702160024e-01
1.133266151230580903e+02,6.204547643335119878e-01
1.135139112324641246e+02,6.187206753968081951e-01
1.137012073418701874e+02,6.169865864601041805e-01
1.138885034512762218e+02,6.152524975234004989e-01
1.140757995606822703e+02,6.135184085866967063e-01
1.142630956700883047e+02,6.117843196499930247e-01
1.144503917794943391e+02,6.100502307132888991e-01
1.146373779688656498e+02,6.083147600761920071e-01
1.148199121993017400e+02,6.065594415018140673e-01
1.150024464297378444e+02,6.048041229274361275e-01
1.151849806601739488e+02,6.030488043530580766e-01
1.153675148906100389e+02,6.012934857786805809e-01
1.155500491210461576e+02,5.995381672043026411e-01
1.157325833514822619e+02,5.977828486299247013e-01
1.159151175819183663e+02,5.960275300555467615e-01
1.160976518123544707e+02,5.942722114811691547e-01
1.162801860427905751e+02,5.925168929067912149e-01
1.164627202732266795e+02,5.907615743324132751e-01
