time[ms],[Ca2+]_i[μM]
5.558766935896773731e+01,3.656795322895050049e-01
5.561768721175094043e+01,3.674302101135253906e-01
5.564770506453414356e+01,3.691808879375457764e-01
5.567772291731734668e+01,3.709315359592437744e-01
5.570774077010054981e+01,3.726822137832641602e-01
5.573775862288375293e+01,3.744328916072845459e-01
5.576663206648726856e+01,3.761844336986541748e-01
5.579443739485640918e+01,3.779367208480834961e-01
5.582224653792281543e+01,3.796890079975128174e-01
5.585005568098922168e+01,3.814413249492645264e-01
5.587786482405562793e+01,3.831936120986938477e-01
5.590567396712203418e+01,3.849459290504455566e-01
5.593348311018844043e+01,3.866982161998748779e-01
5.596128843855758106e+01,3.884505331516265869e-01
5.598909758162398731e+01,3.902028203010559082e-01
5.601690672469039356e+01,3.919551372528076172e-01
5.604228972029586231e+01,3.937090635299682617e-01
5.606723402571578418e+01,3.954632878303527832e-01
5.609217833113570606e+01,3.972175121307373047e-01
5.611712263655562793e+01,3.989717066287994385e-01
5.614206694197554981e+01,4.007259309291839600e-01
5.616701124739547168e+01,4.024801552295684814e-01
5.619195555281539356e+01,4.042343795299530029e-01
5.621689985823531543e+01,4.059886038303375244e-01
5.624184416365523731e+01,4.077428281307220459e-01
5.626678846907515918e+01,4.094970524311065674e-01
5.629173277449508106e+01,4.112512767314910889e-01
5.631773756575484668e+01,4.130048155784606934e-01
5.634379576277633106e+01,4.147583246231079102e-01
5.636985014510054981e+01,4.165118038654327393e-01
5.639590834212203418e+01,4.182653129100799561e-01
5.642196653914351856e+01,4.200188219547271729e-01
5.644802473616500293e+01,4.217723011970520020e-01
5.647408293318648731e+01,4.235258102416992188e-01
5.650013731551070606e+01,4.252793192863464355e-01
5.652619551253219043e+01,4.270328283309936523e-01
5.655225370955367481e+01,4.287863075733184814e-01
5.657831190657515918e+01,4.305398166179656982e-01
5.660471724104781543e+01,4.322930574417114258e-01
5.663500212263961231e+01,4.340435266494750977e-01
5.666529081892867481e+01,4.357939958572387695e-01
5.669557570052047168e+01,4.375444650650024414e-01
5.672586439680953418e+01,4.392949342727661133e-01
5.675614927840133106e+01,4.410454034805297852e-01
5.678643797469039356e+01,4.427958726882934570e-01
5.681672285628219043e+01,4.445463418960571289e-01
5.684701155257125293e+01,4.462968111038208008e-01
5.687729643416304981e+01,4.480472803115844727e-01
5.690758513045211231e+01,4.497977495193481445e-01
5.693787001204390918e+01,4.515482187271118164e-01
5.696815870833297168e+01,4.532986879348754883e-01
5.700185011458297168e+01,4.550462067127227783e-01
5.703918074202437793e+01,4.567906260490417480e-01
5.707650755476851856e+01,4.585350155830383301e-01
5.711383436751265918e+01,4.602794051170349121e-01
5.715116499495406543e+01,4.620237946510314941e-01
5.718849180769820606e+01,4.637681841850280762e-01
5.722581862044234668e+01,4.655125737190246582e-01
5.726314924788375293e+01,4.672569930553436279e-01
5.730047606062789356e+01,4.690013825893402100e-01
5.733780287337203418e+01,4.707457721233367920e-01
5.737513350081344043e+01,4.724901616573333740e-01
5.741246031355758106e+01,4.742345511913299561e-01
5.744978712630172168e+01,4.759789407253265381e-01
5.749103163313765918e+01,4.777190983295440674e-01
5.753824232649703418e+01,4.794527888298034668e-01
5.758544920515914356e+01,4.811864793300628662e-01
5.763265989851851856e+01,4.829201698303222656e-01
5.767987059187789356e+01,4.846538603305816650e-01
5.772707747054000293e+01,4.863875210285186768e-01
5.777428816389937793e+01,4.881212115287780762e-01
5.782149885725875293e+01,4.898549020290374756e-01
5.786870955061812793e+01,4.915885925292968750e-01
5.791591642928023731e+01,4.933222830295562744e-01
5.796312712263961231e+01,4.950559735298156738e-01
5.801033781599898731e+01,4.967896342277526855e-01
5.805754469466109668e+01,4.985233247280120850e-01
5.810534285139937793e+01,5.002561807632446289e-01
5.816552351546187793e+01,5.019719004631042480e-01
5.822570036482711231e+01,5.036875605583190918e-01
5.828587721419234668e+01,5.054032802581787109e-01
5.834605787825484668e+01,5.071189403533935547e-01
5.840623472762008106e+01,5.088346004486083984e-01
5.846641539168258106e+01,5.105503201484680176e-01
5.852659224104781543e+01,5.122659802436828613e-01
5.858676909041304981e+01,5.139816999435424805e-01
5.864694975447554981e+01,5.156973600387573242e-01
5.870712660384078418e+01,5.174130201339721680e-01
5.876730345320601856e+01,5.191287398338317871e-01
5.882748411726851856e+01,5.208443999290466309e-01
5.888766096663375293e+01,5.225601196289062500e-01
5.895838163924117481e+01,5.242568850517272949e-01
5.903503035139937793e+01,5.259430408477783203e-01
5.911168287825484668e+01,5.276291966438293457e-01
5.918833159041304981e+01,5.293152928352355957e-01
5.926498411726851856e+01,5.310014486312866211e-01
5.934163282942672168e+01,5.326876044273376465e-01
5.941828535628219043e+01,5.343737602233886719e-01
5.949493406844039356e+01,5.360599160194396973e-01
5.957158659529586231e+01,5.377460122108459473e-01
5.964823530745406543e+01,5.394321680068969727e-01
5.972488783430953418e+01,5.411183238029479980e-01
5.980153654646773731e+01,5.428044795989990234e-01
5.987818907332320606e+01,5.444906353950500488e-01
5.996221159529586231e+01,5.461595654487609863e-01
6.005933378767867481e+01,5.477980375289916992e-01
6.015645216536422168e+01,5.494364500045776367e-01
6.025357054304976856e+01,5.510749220848083496e-01
6.035069273543258106e+01,5.527133345603942871e-01
6.044781111311812793e+01,5.543518066406250000e-01
6.054493330550094043e+01,5.559902191162109375e-01
6.064205168318648731e+01,5.576286911964416504e-01
6.073917006087203418e+01,5.592671036720275879e-01
6.083629225325484668e+01,5.609055757522583008e-01
6.093341063094039356e+01,5.625439882278442383e-01
6.103052900862594043e+01,5.641824603080749512e-01
6.112765120100875293e+01,5.658208727836608887e-01
6.123339460921187793e+01,5.674329996109008789e-01
6.135535429549117481e+01,5.689956545829772949e-01
6.147731398177047168e+01,5.705583095550537109e-01
6.159927748274703418e+01,5.721209049224853516e-01
6.172123716902633106e+01,5.736835598945617676e-01
6.184319685530562793e+01,5.752462148666381836e-01
6.196515654158492481e+01,5.768088698387145996e-01
6.208711622786422168e+01,5.783715248107910156e-01
6.220907591414351856e+01,5.799341201782226562e-01
6.233103941512008106e+01,5.814967751502990723e-01
6.245299910139937793e+01,5.830594301223754883e-01
6.257495878767867481e+01,5.846220850944519043e-01
6.269691847395797168e+01,5.861847400665283203e-01
6.283874510359664356e+01,5.876669883728027344e-01
6.298977278304000293e+01,5.891119837760925293e-01
6.314079664778609668e+01,5.905569791793823242e-01
6.329182432722945606e+01,5.920020341873168945e-01
6.344285200667281543e+01,5.934470295906066895e-01
6.359387587141890918e+01,5.948920845985412598e-01
6.374490355086226856e+01,5.963370800018310547e-01
6.389593123030562793e+01,5.977820754051208496e-01
6.404695509505171458e+01,5.992271304130554199e-01
6.419798277449507395e+01,6.006721258163452148e-01
6.434901045393843333e+01,6.021171808242797852e-01
6.450003431868452708e+01,6.035621762275695801e-01
6.466283796858687083e+01,6.049426198005676270e-01
6.484579847884077708e+01,6.062124967575073242e-01
6.502875517439741770e+01,6.074823737144470215e-01
6.521171568465132395e+01,6.087521910667419434e-01
6.539467238020796458e+01,6.100220680236816406e-01
6.557763289046187083e+01,6.112919449806213379e-01
6.576059340071577708e+01,6.125618219375610352e-01
6.594355009627241770e+01,6.138316988945007324e-01
6.612651060652632395e+01,6.151015758514404297e-01
6.630946730208296458e+01,6.163714528083801270e-01
6.649242781233687083e+01,6.176413297653198242e-01
6.667538450789351145e+01,6.189112067222595215e-01
6.686747740340132395e+01,6.201105713844299316e-01
6.708195494246382395e+01,6.211372613906860352e-01
6.729643629622358958e+01,6.221639513969421387e-01
6.751091383528608958e+01,6.231905817985534668e-01
6.772539137434858958e+01,6.242172718048095703e-01
6.793986891341108958e+01,6.252439618110656738e-01
6.815434645247358958e+01,6.262705922126770020e-01
6.836882399153608958e+01,6.272972822189331055e-01
6.858330153059858958e+01,6.283239722251892090e-01
6.879777906966108958e+01,6.293506026268005371e-01
6.901225660872358958e+01,6.303772926330566406e-01
6.922673414778608958e+01,6.314039826393127441e-01
6.944624708723921458e+01,6.323722600936889648e-01
6.968697355818648020e+01,6.330942511558532715e-01
6.992770002913374583e+01,6.338162422180175781e-01
7.016843031477827708e+01,6.345382332801818848e-01
7.040915678572554270e+01,6.352602839469909668e-01
7.064988707137007395e+01,6.359822750091552734e-01
7.089061354231733958e+01,6.367042660713195801e-01
7.113134001326460520e+01,6.374262571334838867e-01
7.137207029890913645e+01,6.381482481956481934e-01
7.161280058455366770e+01,6.388702988624572754e-01
7.185352324080366770e+01,6.395922899246215820e-01
7.209425352644819895e+01,6.403142809867858887e-01
7.233498381209273020e+01,6.410362720489501953e-01
7.258693693709273020e+01,6.415331959724426270e-01
7.284442900252241770e+01,6.419190764427185059e-01
7.310192106795210520e+01,6.423050165176391602e-01
7.335940550398726145e+01,6.426909565925598145e-01
7.361689756941694895e+01,6.430768966674804688e-01
7.387438963484663645e+01,6.434628367424011230e-01
7.413188170027632395e+01,6.438487768173217773e-01
7.438936613631148020e+01,6.442347168922424316e-01
7.464685820174116770e+01,6.446206569671630859e-01
7.490435026717085520e+01,6.450065970420837402e-01
7.516184233260054270e+01,6.453925371170043945e-01
7.541932676863569895e+01,6.457784175872802734e-01
7.567681883406538645e+01,6.461643576622009277e-01
