time[ms],current [pA]
-9.522219085693359375e+01,7.064388990402221680e-01
-9.515158081054687500e+01,7.053604722023010254e-01
-9.508088684082031250e+01,7.042796015739440918e-01
-9.501010131835937500e+01,7.031963467597961426e-01
-9.493922424316406250e+01,7.021105885505676270e-01
-9.486826324462890625e+01,7.010224461555480957e-01
-9.479720306396484375e+01,6.999317407608032227e-01
-9.472604370117187500e+01,6.988386511802673340e-01
-9.465478515625000000e+01,6.977429986000061035e-01
-9.458342742919921875e+01,6.966448426246643066e-01
-9.451196289062500000e+01,6.955442428588867188e-01
-9.444038391113281250e+01,6.944410204887390137e-01
-9.436869812011718750e+01,6.933353543281555176e-01
-9.429689025878906250e+01,6.922270655632019043e-01
-9.422496795654296875e+01,6.911162137985229492e-01
-9.415292358398437500e+01,6.900028586387634277e-01
-9.408075714111328125e+01,6.888868212699890137e-01
-9.400846099853515625e+01,6.877682805061340332e-01
-9.393603515625000000e+01,6.866470575332641602e-01
-9.386347961425781250e+01,6.855232715606689453e-01
-9.379079437255859375e+01,6.843968033790588379e-01
-9.371796417236328125e+01,6.832677125930786133e-01
-9.364498901367187500e+01,6.821359395980834961e-01
-9.357187652587890625e+01,6.810015439987182617e-01
-9.349919128417968750e+01,6.798734068870544434e-01
-9.343498229980468750e+01,6.788750886917114258e-01
-9.337068176269531250e+01,6.778727173805236816e-01
-9.330629730224609375e+01,6.768662929534912109e-01
-9.324182128906250000e+01,6.758558154106140137e-01
-9.317726135253906250e+01,6.748412847518920898e-01
-9.311260986328125000e+01,6.738228201866149902e-01
-9.304788208007812500e+01,6.728003621101379395e-01
-9.298306274414062500e+01,6.717740297317504883e-01
-9.291815948486328125e+01,6.707437634468078613e-01
-9.285317230224609375e+01,6.697096228599548340e-01
-9.278810119628906250e+01,6.686716675758361816e-01
-9.272295379638671875e+01,6.676298379898071289e-01
-9.265772247314453125e+01,6.665842533111572266e-01
-9.259240722656250000e+01,6.655349135398864746e-01
-9.252702331542968750e+01,6.644818186759948730e-01
-9.246154785156250000e+01,6.634250879287719727e-01
-9.239600372314453125e+01,6.623646020889282227e-01
-9.233037567138671875e+01,6.613004803657531738e-01
-9.226467132568359375e+01,6.602327823638916016e-01
-9.219889831542968750e+01,6.591614484786987305e-01
-9.213304138183593750e+01,6.580865383148193359e-01
-9.206710815429687500e+01,6.570081114768981934e-01
-9.200111389160156250e+01,6.559261679649353027e-01
-9.193503570556640625e+01,6.548407673835754395e-01
-9.186888885498046875e+01,6.537518501281738281e-01
-9.180267333984375000e+01,6.526595354080200195e-01
-9.173638153076171875e+01,6.515638232231140137e-01
-9.167002105712890625e+01,6.504647731781005859e-01
-9.160359191894531250e+01,6.493623256683349609e-01
-9.153709411621093750e+01,6.482565402984619141e-01
-9.147052001953125000e+01,6.471475362777709961e-01
-9.140389251708984375e+01,6.460351943969726562e-01
-9.133718872070312500e+01,6.449196934700012207e-01
-9.127042388916015625e+01,6.438009142875671387e-01
-9.120359802246093750e+01,6.426790356636047363e-01
-9.113670349121093750e+01,6.415539383888244629e-01
-9.106974029541015625e+01,6.404257416725158691e-01
-9.100271606445312500e+01,6.392944455146789551e-01
-9.093563842773437500e+01,6.381600499153137207e-01
-9.086849212646484375e+01,6.370226740837097168e-01
-9.080128479003906250e+01,6.358822584152221680e-01
-9.073402404785156250e+01,6.347388625144958496e-01
-9.066669464111328125e+01,6.335924863815307617e-01
-9.059931182861328125e+01,6.324431896209716797e-01
-9.053187561035156250e+01,6.312909722328186035e-01
-9.046437072753906250e+01,6.301359534263610840e-01
-9.039682006835937500e+01,6.289780139923095703e-01
-9.032920837402343750e+01,6.278172731399536133e-01
-9.026155090332031250e+01,6.266537308692932129e-01
-9.019383239746093750e+01,6.254874467849731445e-01
-9.012605285644531250e+01,6.243184208869934082e-01
-9.005823516845703125e+01,6.231467127799987793e-01
-8.999035644531250000e+01,6.219722628593444824e-01
-8.992242431640625000e+01,6.207951903343200684e-01
-8.985444641113281250e+01,6.196154952049255371e-01
-8.978642272949218750e+01,6.184331774711608887e-01
-8.971834564208984375e+01,6.172483563423156738e-01
-8.965022277832031250e+01,6.160609126091003418e-01
-8.958204650878906250e+01,6.148710250854492188e-01
-8.951383209228515625e+01,6.136785745620727539e-01
-8.944556427001953125e+01,6.124837398529052734e-01
-8.937725830078125000e+01,6.112864017486572266e-01
-8.930889892578125000e+01,6.100867390632629395e-01
-8.924050140380859375e+01,6.088846325874328613e-01
-8.917205810546875000e+01,6.076802015304565430e-01
-8.910357666015625000e+01,6.064734458923339844e-01
-8.903504943847656250e+01,6.052644252777099609e-01
-8.896648406982421875e+01,6.040530800819396973e-01
-8.889787292480468750e+01,6.028395295143127441e-01
-8.882923126220703125e+01,6.016237735748291016e-01
-8.876054382324218750e+01,6.004058718681335449e-01
-8.869182586669921875e+01,5.991857647895812988e-01
-8.862306213378906250e+01,5.979635119438171387e-01
-8.855426788330078125e+01,5.967391729354858398e-01
-8.848543548583984375e+01,5.955128073692321777e-01
-8.841656494140625000e+01,5.942843556404113770e-01
-8.834766387939453125e+01,5.930539369583129883e-01
-8.827873229980468750e+01,5.918214917182922363e-01
-8.820976257324218750e+01,5.905870795249938965e-01
-8.814076232910156250e+01,5.893507003784179688e-01
-8.807173156738281250e+01,5.881124734878540039e-01
-8.800266265869140625e+01,5.868723392486572266e-01
-8.793357086181640625e+01,5.856303572654724121e-01
-8.786444854736328125e+01,5.843865871429443359e-01
-8.779530334472656250e+01,5.831409692764282227e-01
-8.772611999511718750e+01,5.818936228752136230e-01
-8.765691375732421875e+01,5.806445479393005371e-01
-8.758768463134765625e+01,5.793936848640441895e-01
-8.751843261718750000e+01,5.781412124633789062e-01
-8.744914245605468750e+01,5.768870711326599121e-01
-8.737983703613281250e+01,5.756312608718872070e-01
-8.731050872802734375e+01,5.743739008903503418e-01
-8.724115753173828125e+01,5.731149315834045410e-01
-8.717178344726562500e+01,5.718544721603393555e-01
-8.710238647460937500e+01,5.705924034118652344e-01
-8.703297424316406250e+01,5.693289041519165039e-01
-8.696353912353515625e+01,5.680639743804931641e-01
-8.689408874511718750e+01,5.667975544929504395e-01
-8.682461547851562500e+01,5.655297040939331055e-01
-8.675511932373046875e+01,5.642605423927307129e-01
-8.668560791015625000e+01,5.629900097846984863e-01
-8.661608886718750000e+01,5.617181062698364258e-01
-8.654655456542968750e+01,5.604449510574340820e-01
-8.647699737548828125e+01,5.591704845428466797e-01
-8.640743255615234375e+01,5.578948259353637695e-01
-8.633785247802734375e+01,5.566179156303405762e-01
-8.626826477050781250e+01,5.553398728370666504e-01
-8.619865417480468750e+01,5.540606379508972168e-01
-8.612904357910156250e+01,5.527802705764770508e-01
-8.605941772460937500e+01,5.514987707138061523e-01
-8.598977661132812500e+01,5.502162575721740723e-01
-8.592013549804687500e+01,5.489326715469360352e-01
-8.585048675537109375e+01,5.476480126380920410e-01
-8.578082275390625000e+01,5.463624596595764160e-01
-8.571116638183593750e+01,5.450758934020996094e-01
-8.564149475097656250e+01,5.437883734703063965e-01
-8.557180786132812500e+01,5.424999594688415527e-01
-8.550213623046875000e+01,5.412106513977050781e-01
-8.543244934082031250e+01,5.399205088615417480e-01
-8.536276245117187500e+01,5.386295318603515625e-01
-8.529307556152343750e+01,5.373377799987792969e-01
-8.522338104248046875e+01,5.360451936721801758e-01
-8.515368652343750000e+01,5.347519516944885254e-01
-8.508399963378906250e+01,5.334579348564147949e-01
-8.501430511474609375e+01,5.321632623672485352e-01
-8.494461822509765625e+01,5.308678746223449707e-01
-8.487492370605468750e+01,5.295718908309936523e-01
-8.480524444580078125e+01,5.282753109931945801e-01
-8.473556518554687500e+01,5.269781351089477539e-01
-8.466588592529296875e+01,5.256804227828979492e-01
-8.459622192382812500e+01,5.243822336196899414e-01
-8.452655029296875000e+01,5.230835080146789551e-01
-8.445689392089843750e+01,5.217843055725097656e-01
-8.438723754882812500e+01,5.204846858978271484e-01
-8.431759643554687500e+01,5.191846489906311035e-01
-8.424796295166015625e+01,5.178841948509216309e-01
-8.417833709716796875e+01,5.165834426879882812e-01
-8.410871887207031250e+01,5.152823328971862793e-01
-8.403912353515625000e+01,5.139809250831604004e-01
-8.396952819824218750e+01,5.126792192459106445e-01
-8.389994812011718750e+01,5.113773345947265625e-01
-8.383038330078125000e+01,5.100751519203186035e-01
-8.376082611083984375e+01,5.087728500366210938e-01
-8.369128417968750000e+01,5.074703693389892578e-01
-8.362176513671875000e+01,5.061677098274230957e-01
-8.355226135253906250e+01,5.048649907112121582e-01
-8.348277282714843750e+01,5.035621523857116699e-01
-8.341329956054687500e+01,5.022593140602111816e-01
-8.334384155273437500e+01,5.009564161300659180e-01
-8.327440643310546875e+01,4.996535480022430420e-01
-8.320499420166015625e+01,4.983507096767425537e-01
-8.313559722900390625e+01,4.970479309558868408e-01
-8.306622314453125000e+01,4.957452416419982910e-01
-8.299687194824218750e+01,4.944426417350769043e-01
-8.292754364013671875e+01,4.931401908397674561e-01
-8.285823822021484375e+01,4.918379485607147217e-01
-8.278895568847656250e+01,4.905358552932739258e-01
-8.271969604492187500e+01,4.892340302467346191e-01
-8.265046691894531250e+01,4.879324436187744141e-01
-8.258126068115234375e+01,4.866311252117156982e-01
-8.251208496093750000e+01,4.853301346302032471e-01
-8.244293212890625000e+01,4.840294718742370605e-01
-8.237380981445312500e+01,4.827291667461395264e-01
-8.230471801757812500e+01,4.814292490482330322e-01
-8.223565673828125000e+01,4.801297783851623535e-01
-8.216662597656250000e+01,4.788307249546051025e-01
-8.209762573242187500e+01,4.775321781635284424e-01
-8.202865600585937500e+01,4.762341082096099854e-01
-8.195972442626953125e+01,4.749365746974945068e-01
-8.189082336425781250e+01,4.736396074295043945e-01
-8.182195281982421875e+01,4.723432362079620361e-01
-8.175312042236328125e+01,4.710474610328674316e-01
-8.168432617187500000e+01,4.697523117065429688e-01
-8.161557006835937500e+01,4.684578776359558105e-01
-8.154684448242187500e+01,4.671640992164611816e-01
-8.147815704345703125e+01,4.658710658550262451e-01
-8.140951538085937500e+01,4.645787775516510010e-01
-8.134091186523437500e+01,4.632872641086578369e-01
-8.127233886718750000e+01,4.619965553283691406e-01
-8.120381164550781250e+01,4.607067108154296875e-01
-8.113533020019531250e+01,4.594177007675170898e-01
-8.106689453125000000e+01,4.581295847892761230e-01
-8.099848937988281250e+01,4.568423926830291748e-01
-8.093013763427734375e+01,4.555561542510986328e-01
-8.086183166503906250e+01,4.542708992958068848e-01
-8.079356384277343750e+01,4.529866278171539307e-01
-8.072534179687500000e+01,4.517033696174621582e-01
-8.065717315673828125e+01,4.504211843013763428e-01
-8.058905029296875000e+01,4.491401016712188721e-01
-8.052097320556640625e+01,4.478600919246673584e-01
-8.045294189453125000e+01,4.465812444686889648e-01
-8.038496398925781250e+01,4.453035593032836914e-01
-8.031704711914062500e+01,4.440270960330963135e-01
-8.024916839599609375e+01,4.427518248558044434e-01
-8.018134307861328125e+01,4.414778053760528564e-01
-8.011357116699218750e+01,4.402050673961639404e-01
-8.004585266113281250e+01,4.389336407184600830e-01
-7.997819519042968750e+01,4.376635551452636719e-01
-7.991058349609375000e+01,4.363948404788970947e-01
-7.984303283691406250e+01,4.351274967193603516e-01
-7.977552795410156250e+01,4.338615536689758301e-01
-7.970809173583984375e+01,4.325970709323883057e-01
